particle_count,timesteps,threads,sample,time
10000,10,2,23,2.661
10000,10,2,24,2.664
10000,10,2,25,2.651
10000,10,2,26,2.659
10000,10,2,27,2.685
10000,10,2,28,2.682
10000,10,2,29,2.689
10000,10,2,30,2.602
10000,10,4,1,1.707
10000,10,4,2,1.581
10000,10,4,3,1.526
10000,10,4,4,1.564
10000,10,4,5,1.551
10000,10,4,6,1.624
10000,10,4,7,1.623
10000,10,4,8,1.582
10000,10,4,9,1.535
10000,10,4,10,1.638
10000,10,4,11,1.609
10000,10,4,12,1.535
10000,10,4,13,1.533
10000,10,4,14,1.535
10000,10,4,15,1.617
10000,10,4,16,1.516
10000,10,4,17,1.545
10000,10,4,18,1.635
10000,10,4,19,1.750
10000,10,4,20,1.525
10000,10,4,21,1.562
10000,10,4,22,1.611
10000,10,4,23,1.629
10000,10,4,24,1.639
10000,10,4,25,1.546
10000,10,4,26,1.535
10000,10,4,27,1.553
10000,10,4,28,1.660
10000,10,4,29,1.541
10000,10,4,30,1.588
10000,10,8,1,1.528
10000,10,8,2,1.533
10000,10,8,3,1.527
10000,10,8,4,1.546
10000,10,8,5,1.533
10000,10,8,6,1.526
10000,10,8,7,1.535
10000,10,8,8,1.530
10000,10,8,9,1.532
10000,10,8,10,1.531
10000,10,8,11,1.535
10000,10,8,12,1.545
10000,10,8,13,1.537
10000,10,8,14,1.539
10000,10,8,15,1.537
10000,10,8,16,1.530
10000,10,8,17,1.544
10000,10,8,18,1.534
10000,10,8,19,1.536
10000,10,8,20,1.534
10000,10,8,21,1.527
10000,10,8,22,1.531
10000,10,8,23,1.539
10000,10,8,24,1.549
10000,10,8,25,1.542
10000,10,8,26,1.534
10000,10,8,27,1.536
10000,10,8,28,1.542
10000,10,8,29,1.531
10000,10,8,30,1.536
10000,10,12,1,1.224
10000,10,12,2,1.205
10000,10,12,3,1.202
10000,10,12,4,1.190
10000,10,12,5,1.192
10000,10,12,6,1.205
10000,10,12,7,1.195
10000,10,12,8,1.196
10000,10,12,9,1.176
10000,10,12,10,1.198
10000,10,12,11,1.218
10000,10,12,12,1.246
10000,10,12,13,1.184
10000,10,12,14,1.197
10000,10,12,15,1.261
10000,10,12,16,1.231
10000,10,12,17,1.186
10000,10,12,18,1.192
10000,10,12,19,1.202
10000,10,12,20,1.211
10000,10,12,21,1.200
10000,10,12,22,1.193
10000,10,12,23,1.178
10000,10,12,24,1.238
10000,10,12,25,1.204
10000,10,12,26,1.185
10000,10,12,27,1.181
10000,10,12,28,1.232
